title,author,genre,type,format,source,status,pages,priority,rating,summary,series_name,book_number,language,is_series,rating_category,pages_category,reading_time_hrs,recommendation_score,predicted_score
The Concrete Blonde,Michael Connelly,"Crime, Detective Fiction, Thriller",Fiction (Novel),Physical,Shelf,To-Read,411,Medium,4.4,LAPD detective Harry Bosch is sued by a serial killer's widow over his earlier shootingÃand soon must track a new Dollmaker copycat while facing the fallout of past actions.,Harry Bosch Series,3,English,True,Excellent,Long,13.7,5.28,4.32
Written In Blood,Chris Carter,"Crime Thriller, Psychological Thriller",Fiction (Novel),Physical,Shelf,To-Read,480,Medium,4.25,"A pickpocket accidentally steals a killer's grisly diary, drawing the attention of serial murderer and LAPD profiler Robert Hunter into a deadly cat-and-mouse chase.",Robert Hunter Series,11,English,True,Excellent,Long,16.0,5.1,4.18
My India: The India Eternal,Swami Vivekananda,"Philosophy, Spirituality, Nationalism",Non-Fiction (Essay Collection),Physical,Shelf,To-Read,229,Medium,4.7,A stirring collection of Swami Vivekananda's writings and speeches celebrating India's spiritual heritage and calling for national awakening rooted in unity and service.,,,English,False,Excellent,Medium,7.63,5.64,4.51
My Life And Legacy Of Bharat Ratna Sir M. Visvesvaraya,Sir M. Visvesvaraya,"Biography, Autobiography, Engineering History",Non-Fiction,Physical,Shelf,To-Read,34,Medium,4.0,"Chronicles the life, engineering brilliance, and nation-building contributions of Sir M. VisvesvarayaÃthe Bharat Ratna awardee and visionary behind modern infrastructure in India.",,,English,False,Good,Short,1.13,4.8,3.84
An Autobiography: The Story Of My Experiments With Truth,Mohandas Karamchand Gandhi,"Autobiography, History, Philosophy",Non-Fiction,Physical,Shelf,To-Read,374,Medium,4.35,Gandhi recounts his personal spiritual and moral journeyÃfrom childhood through his South African experiences and early Indian activismÃemphasizing ahimsa and the pursuit of truth.,,,English,False,Excellent,Long,12.47,5.22,4.18
Attitude Is Everything,Jeff Keller,"Self-Help, Motivation, Personal Development",Non-Fiction,Physical,Shelf,To-Read,128,Medium,4.6,"A motivational guide emphasizing that personal success hinges on attitudes like resilience, persistence, and positivity in life's challenges.",,,English,False,Excellent,Short,4.27,5.52,4.42
The Power Of A Positive Attitude,Roger Fritz,"Self-Help, Motivation, Psychology",Non-Fiction,Physical,Shelf,To-Read,112,Medium,4.4,"A clear, reader-friendly manual offering practical techniques for cultivating a confident, optimistic mindset to unlock leadership and personal growth.",,,English,False,Excellent,Short,3.73,5.28,4.22
Moment Of Signal,Shreedhar Bevara,"Leadership, Motivation, Business Inspiration",Non-Fiction,Physical,Shelf,To-Read,273,Medium,4.25,Shares how recognizing and acting on life's pivotal Ãmoments of signalÃ helped him rise from poverty to corporate leadershipÃand shows how anyone can harness this awareness for personal and professional transformation.,,,English,False,Excellent,Medium,9.1,5.1,4.08
Believe In Yourself,Dr. Joseph Murphy,"Self-Help, Inspirational",Non-Fiction,Physical,Shelf,To-Read,73,Medium,4.35,"A short, accessible motivational book teaching how focused mindset and positive affirmations can reshape one's mental outlook and success potential.",,,English,False,Excellent,Short,2.43,5.22,4.18
The Power Of Your Subconscious Mind,Dr. Joseph Murphy,"Self-Help, Psychology, Mind Power",Non-Fiction,Physical,Shelf,To-Read,219,Medium,4.35,"A classic self-help work asserting that faith-filled affirmations and subconscious conditioning can bring mental clarity, success, and healing.",,,English,False,Excellent,Medium,7.3,5.22,4.18
Why I Am An Atheist,Bhagat Singh,"Political Philosophy, Revolutionary Writings, Atheism",Non-Fiction (Essay / Manifesto),Audiobook,Youtube,To-Read,287,Medium,4.5,"Written during his imprisonment in 1930, Bhagat Singh argues that atheism was a result of rigorous study, reason, and moral convictionÃnot vanityÃrejecting blind faith in pursuit of intellectual and revolutionary clarity.",,,Hindi,False,Excellent,Medium,9.57,5.4,4.32
The Adventure Of The Empty House,Sir Arthur Canon Doyle,"Mystery, Detective Fiction",Fiction (Short Story),Audiobook,Youtube,To-Read,287,Medium,4.5,"Sherlock Holmes dramatically returns after being presumed dead for three years, disguises himself as an old book collector, and helps Watson unravel a baffling locked room murder tied to Moriarty's associate Colonel Moran",The Return Of Sherlock Holmes,1,Hindi,True,Excellent,Medium,9.57,5.4,4.42
The Case Of Identity,Sir Arthur Canon Doyle,"Mystery, Detective Fiction",Fiction (Short Story),Audiobook,Youtube,To-Read,287,Medium,3.7,"Sherlock Holmes investigates the curious disappearance of a bridegroom on the eve of marriage, only to uncover that the suitor never existedÃhe was a disguise created by the woman's greedy stepfather to keep her inheritance close.",The Adventures Of Sherlock Holmes,3,Hindi,True,Good,Medium,9.57,4.44,3.65
Mystery Of The Death Of God,Satyajit Ray,"Mystery, Detective Fiction",Fiction (Short Story),Audiobook,Youtube,To-Read,287,Medium,4.0,"Feluda & Topshe unravel a rare and chilling plot involving the death of an Egyptian deity idolÃwhere myth, forgery, and murder intertwine in the backdrop of a secretive curator's world.",Feluda,,Hindi,True,Good,Medium,9.57,4.8,3.94
The Answer Is No,Fredrik Backman,"Contemporary Fiction, Emotional Drama",Fiction (Novella),Kindle,Kindle,To-Read,67,Medium,4.5,"A poignant reflection on boundaries, power, and the silent strength of saying no in the face of manipulation.",,,English,False,Excellent,Short,2.23,5.4,4.32
Bravehearts Of Bharat: Vignettes From Indian History,Vikram Sampath,"Political History, History",Non-Fiction,Physical,Shelf,To-Read,326,Medium,4.4,An anthology profiling 15 unsung Indian warriorsï¿½men and women across regions and erasï¿½whose stories of courage against invaders have been forgotten in mainstream history,,,English,False,Excellent,Long,10.87,5.28,4.22
Dark Eyes,William Richter,"Thriller, Mystery",Fiction (Novel),Physical,Shelf,To-Read,373,Medium,3.76,"A gritty, fast-paced YA thriller featuring Wallyï¿½an adopted teen from a Russian orphanageï¿½now living on the streets, hunting her birth mother while being pursued by her dark-eyed gangster father",Dark Eyes Series,1,English,True,Good,Long,12.43,4.51,3.71
The Complete Novels Of Sherlock Holmes,Sir Arthur Canon Doyle,"Mystery, Detective Fiction",Fiction (Novel Collection),Physical,Shelf,To-Read,487,Medium,4.5,"A brilliant detective and his loyal friend unravel baffling mysteries with logic, wit, and deduction across four classic novels.",Sherlock Holmes Series,1,English,True,Excellent,Long,16.23,5.4,4.42
Animal Farm,George Orwell,"Political Satire, Allegory",Fiction (Novella),Physical,Shelf,To-Read,143,Medium,4.2,"A biting allegory about a group of farm animals who overthrow their human farmer, only to see their utopian revolution corrupted by power, mirroring the rise of totalitarianism.",,,English,False,Excellent,Short,4.77,5.04,4.03
1984,George Orwell,"Dystopian, Political Fiction",Fiction (Novel),Physical,Shelf,To-Read,303,Medium,4.5,"A chilling depiction of a totalitarian regime where surveillance, censorship, and propaganda control every aspect of life Ñ a timeless warning about freedom and truth.",,,English,False,Excellent,Long,10.1,5.4,4.32
The Forest Of Enchantments,Chitra Banerjee Divakaruni,Mythological Fiction,Fiction (Novel),Physical,Shelf,To-Read,358,Medium,4.3,"A retelling of the Ramayana from SitaÕs perspective, portraying her strength, choices, and voice in a patriarchal world, blending myth with emotional realism.",,,English,False,Excellent,Long,11.93,5.16,4.13
The Last Queen,Chitra Banerjee Divakaruni,Historical Fiction,Fiction (Novel),Physical,Shelf,To-Read,354,Medium,4.4,"A richly imagined novel about Maharani Jindan Kaur, the fearless last queen of Punjab, who fought to protect her sonÕs throne and legacy against British colonization.",,,English,False,Excellent,Long,11.8,5.28,4.22
Diary: Whispers Of The Heart,Neetika Raina,"Romance, Coming-Of-Age, Spiritual Fiction",Fiction (Novel),Kindle,Kindle,To-Read,370,Medium,4.0,"A music-loving engineering studentÕs journey through friendship, love, loss, and spiritual awakening set against the backdrop of college life and Chidambaram Temple.",,,English,False,Good,Long,12.33,4.8,3.84
Anandamath,Bankim Chandra Chatterjee,"Historical Fiction, Political",Fiction (Novel),Pdf,Google Drive,To-Read,173,Medium,4.1,"A seminal Bengali novel set during the Sannyasi Rebellion of the late 18th century, portraying ascetic warriors rising against oppressive rule. Known for its patriotic themes and for introducing the hymn ÒVande Mataram.Ó",,,English,False,Excellent,Medium,5.77,4.92,3.94
The Reappearance Of Rachel Price,Holly Jackson,"Mystery, Thriller, Young Adult",Fiction (Novel),Physical,Shelf,To-Read,430,Medium,4.1,"A tense YA mystery following a teenage girl whose mother, missing for 16 years and presumed dead, suddenly reappearsÑforcing dark secrets, unreliable truths, and buried lies to surface",,,English,False,Excellent,Long,14.33,4.92,3.94
Mahagatha: 100 Tales From The Puranas,Satyarth Nayak,"Mythology, Religious History",Non-Fiction (Mythological Retellings),Physical,Shelf,To-Read,419,Medium,4.6,"A comprehensive retelling of 100 interconnected stories from the major Puranas, weaving mythology, philosophy, and symbolism to explore the cosmic cycles, deities, and moral frameworks of Hindu tradition",,,English,False,Excellent,Long,13.97,5.52,4.42
Harry Potter And The Philosopher'S Stone,J. K. Rowling,"Fantasy, Adventure",Fiction (Novel),Pdf,Google Drive,Read,223,Medium,4.47,"An orphaned boy discovers he is a wizard and enters Hogwarts School of Witchcraft and Wizardry, uncovering secrets about his past and a dark force seeking immortality.",Harry Potter,1,English,True,Excellent,Medium,7.43,5.36,4.39
Harry Potter And The Chamber Of Secrets,J. K. Rowling,"Fantasy, Adventure",Fiction (Novel),Pdf,Google Drive,Read,251,Medium,4.42,Mysterious attacks petrify students at Hogwarts as Harry uncovers the legend of the Chamber of Secrets and confronts a memory of Voldemort.,Harry Potter,2,English,True,Excellent,Medium,8.37,5.3,4.34
Harry Potter And The Prisoner Of Azkaban,J. K. Rowling,"Fantasy, Adventure",Fiction (Novel),Pdf,Google Drive,Read,317,Medium,4.56,"Harry learns the truth about Sirius Black, a supposed traitor linked to his parentsÕ deaths, while facing Dementors and the complexities of justice.",Harry Potter,3,English,True,Excellent,Long,10.57,5.47,4.48
Harry Potter And The Goblet Of Fire,J. K. Rowling,"Fantasy, Adventure",Fiction (Novel),Pdf,Google Drive,Read,636,Medium,4.53,"Harry is forced into the deadly Triwizard Tournament as Voldemort returns to power, marking a darker turn in the wizarding world.",Harry Potter,4,English,True,Excellent,Very Long,21.2,5.44,4.45
Harry Potter And The Order Of The Phoenix,J. K. Rowling,"Fantasy, Adventure",Fiction (Novel),Pdf,Google Drive,Read,766,Medium,4.5,"As the Ministry denies VoldemortÕs return, Harry forms DumbledoreÕs Army and grapples with loss, rebellion, and growing responsibility.",Harry Potter,5,English,True,Excellent,Very Long,25.53,5.4,4.42
Harry Potter And The Half-Blood Prince,J. K. Rowling,"Fantasy, Adventure",Fiction (Novel),Pdf,Google Drive,Read,607,Medium,4.59,Harry uncovers VoldemortÕs past through Horcruxes while betrayal and tragedy strike at the heart of Hogwarts.,Harry Potter,6,English,True,Excellent,Very Long,20.23,5.51,4.51
Harry Potter And The Deathly Hallows,J. K. Rowling,"Fantasy, Adventure",Fiction (Novel),Pdf,Google Drive,Read,607,Medium,4.62,"Harry, Ron, and Hermione hunt Horcruxes and face the final battle between good and evil in the wizarding world.",Harry Potter,7,English,True,Excellent,Very Long,20.23,5.54,4.53
Flambards,K. M. Peyton,"Historical Fiction, Coming-Of-Age",Fiction (Novel),Pdf,Google Drive,Read,256,Medium,4.1,"An orphaned girl, Christina Parsons, is sent to live at Flambards, a declining rural estate, where she navigates class divides, family tensions, and personal growth in early 20th-century England.",Flambards Series,1,English,True,Excellent,Medium,8.53,4.92,4.04
Crossing The Wire,Will Hobbs,"Young Adult, Realistic Fiction",Fiction (Novel),Pdf,Google Drive,Read,212,Medium,4.1,"A gripping survival story about a teenage boy who illegally crosses the U.S.ÐMexico border in search of work to support his family, highlighting the harsh realities of migration and resilience.",,,English,False,Excellent,Medium,7.07,4.92,3.94
The Magic Of The Lost Temple,Sudha Murty,"Mythology, Cultural Fiction",Fiction (Novel),Pdf,Google Drive,Read,232,Medium,4.25,"A young girlÕs visit to her grandparentsÕ village leads her on a journey of self-discovery through ancient temples, traditions, and the rich cultural heritage of India.",,,English,False,Excellent,Medium,7.73,5.1,4.08
How The Earth Got Its Beauty,Sudha Murty,"Mythology, Short Stories",Fiction (Novel),Pdf,Google Drive,Read,160,Medium,4.2,"A collection of mythological tales that explain the origins of natural wonders, blending folklore, moral lessons, and imaginative storytelling.",,,English,False,Excellent,Medium,5.33,5.04,4.03
Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,"Fantasy, Mythology, Adventure",Fiction (Novel),Physical,Shelf,Read,377,Medium,4.55,"A troubled boy discovers he is a demigod, the son of Poseidon, and embarks on a quest to prevent a war among the Greek gods.",Percy Jackson & The Olympians,1,English,True,Excellent,Long,12.57,5.46,4.47
Percy Jackson & The Olympians: The Sea Of Monsters,Rick Riordan,"Fantasy, Mythology, Adventure",Fiction (Novel),Physical,Shelf,Read,279,Medium,4.45,Percy sets out on a dangerous journey into the Sea of Monsters to retrieve the Golden Fleece and save Camp Half-Blood.,Percy Jackson & The Olympians,2,English,True,Excellent,Medium,9.3,5.34,4.37
Percy Jackson & The Olympians: The Titanõs Curse,Rick Riordan,"Fantasy, Mythology, Adventure",Fiction (Novel),Physical,Shelf,Read,312,Medium,4.52,"Percy joins a rescue mission to save a kidnapped goddess, encountering powerful Titans and learning unsettling truths about prophecy and fate.",Percy Jackson & The Olympians,3,English,True,Excellent,Long,10.4,5.42,4.44
Percy Jackson & The Olympians: The Battle Of The Labyrinth,Rick Riordan,"Fantasy, Mythology, Adventure",Fiction (Novel),Physical,Shelf,Read,361,Medium,4.5,"Percy ventures into the ever-shifting Labyrinth to stop Luke and Kronos from invading Camp Half-Blood, facing dangerous monsters and unexpected alliances.",Percy Jackson & The Olympians,4,English,True,Excellent,Long,12.03,5.4,4.42
Percy Jackson & The Olympians: The Last Olympian,Rick Riordan,"Fantasy, Mythology, Adventure",Fiction (Novel),Physical,Shelf,Read,381,Medium,4.58,"The final prophecy unfolds as Percy leads the defense of Mount Olympus in an epic battle against the Titans, deciding the fate of both gods and mortals.",Percy Jackson & The Olympians,5,English,True,Excellent,Long,12.7,5.5,4.5
